customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Female,0,Yes,No,51,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),82.38,3418.99,No
C00001,Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),98.98,1154.97,No
C00002,Male,0,No,Yes,71,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),65.1,3957.18,Yes
C00003,Female,0,No,Yes,60,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Mailed check,54.53,3112.31,No
C00004,Male,0,Yes,No,20,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.95,610.7,No
C00005,Female,1,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),106.47,2132.16,No
C00006,Male,0,No,Yes,2,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,97.1,209.84,Yes
C00007,Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,34.98,798.1,No
C00008,Male,0,Yes,No,52,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Yes,No,Two year,No,Mailed check,69.74,3944.42,No
C00009,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.22,70.67,No
C00010,Male,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,81.13,2139.01,No
C00011,Male,0,No,Yes,37,Yes,No phone service,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,113.56,3453.0,No
C00012,Male,0,Yes,Yes,1,No,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),76.56,74.31,No
C00013,Female,1,Yes,Yes,63,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Electronic check,72.56,4423.19,No
C00014,Male,0,Yes,No,59,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Two year,No,Mailed check,23.08,1436.6,No
C00015,Male,0,No,Yes,20,No,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),24.35,535.11,No
C00016,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,36.92,1125.26,No
C00017,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,21.28,1095.98,Yes
C00018,Male,1,Yes,Yes,21,Yes,No phone service,DSL,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.08,1672.76,No
C00019,Male,0,Yes,No,48,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.06,3503.0,No
C00020,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),31.74,1753.91,No
C00021,Male,0,Yes,Yes,41,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.44,4059.99,No
C00022,Female,0,No,Yes,59,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Electronic check,33.63,2078.38,No
C00023,Male,0,No,Yes,14,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,48.42,644.92,No
C00024,Female,0,Yes,Yes,61,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,43.15,2829.4,No
