gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,0.7208294363507782,1,1,1,2,0,0,2,2,1,1,1,1,0.4948394294141138,0.622766947505254,0
1,0,1,1,-1.0457453503820247,1,2,1,2,1,2,2,0,1,2,0,1,1.0666715933325064,-0.6479330732719958,0
1,0,0,1,1.6757347264766176,1,0,1,2,1,2,1,0,0,0,0,1,-0.10041718459250182,0.9248305530308714,1
0,0,0,1,1.150536816907406,1,1,0,2,1,0,0,2,1,1,1,3,-0.46452959258150195,0.4506402514637143,0
1,0,1,0,-0.7592737633442728,1,2,0,0,1,2,1,1,1,0,0,2,-1.3457022885473136,-0.9534091292734594,0
0,1,1,0,-0.6160379698253969,1,0,1,2,0,0,2,0,1,2,1,0,1.3246850215101422,-0.09947707319102449,0
1,0,0,1,-1.6186885244575282,1,1,1,0,0,0,0,0,2,1,0,3,1.0019098783827123,-1.178395132192501,1
0,0,0,1,-0.7115284988379809,1,0,1,2,0,2,1,0,2,0,1,3,-1.137982532617922,-0.8482293234883266,0
1,0,1,0,0.7685747008570701,1,2,0,1,0,2,1,2,0,2,0,3,0.05942023953890423,0.9176688970980097,0
0,0,1,0,-1.66643378896382,1,2,0,2,1,0,2,0,0,0,0,0,-0.027388016670393735,-1.2565054500746617,0
1,0,1,0,-0.3295663827876451,1,2,1,2,2,1,2,1,2,0,0,2,0.4517797785166445,-0.09563245382267764,0
1,0,0,1,0.05239573326269064,1,1,0,0,0,1,1,2,0,0,1,3,1.5689193614005883,0.6418553423545197,0
1,0,1,1,-1.66643378896382,0,2,0,0,0,0,2,2,0,2,1,1,0.294353694835497,-1.2544624698555698,0
0,1,1,1,1.2937726104262819,1,2,1,1,1,1,0,0,2,0,0,2,0.15656281196359523,1.186382534321852,0
1,0,1,0,1.1027915524011138,1,1,0,1,1,2,2,0,2,2,0,3,-1.5479104091618296,-0.4898658976942638,0
1,0,0,1,-0.7592737633442728,0,2,2,2,0,2,0,2,2,1,0,1,-1.5041618038500006,-0.99583464431774,0
0,0,0,1,-0.1863305892687692,1,2,1,0,2,1,0,1,2,0,0,2,-1.0711539544250495,-0.6646080574228832,0
0,0,0,0,1.00730102338853,1,2,1,2,0,1,2,2,1,0,0,3,-1.6099163064541853,-0.6810417005039328,1
1,1,1,1,-0.7115284988379809,1,1,0,0,1,0,1,2,2,0,1,1,0.863430041096451,-0.3573191371061261,0
1,0,1,0,0.5775936428319023,1,2,1,0,1,2,0,2,2,0,0,0,0.7938456452461409,0.6699182574519404,0
1,0,1,1,1.055046287894822,1,0,1,0,1,1,2,1,2,0,0,1,-1.2495931477441624,-0.31177302590301226,0
